Release Date,Time,Actual,Forecast,Previous
"Dec 01, 1994 (Nov)",4:00,90.40K,,-8.10K
"Nov 01, 1994 (Oct)",4:00,-8.10K,,61.70K
"Oct 01, 1994 (Sep)",4:00,61.70K,,16.70K
"Sep 01, 1994 (Aug)",4:00,16.70K,,57.00K
"Aug 01, 1994 (Jul)",4:00,57.00K,,29.10K
"Jul 01, 1994 (Jun)",4:00,29.10K,,71.70K
"Jun 01, 1994 (May)",4:00,71.70K,,12.10K
"May 01, 1994 (Apr)",4:00,12.10K,,39.10K
"Apr 01, 1994 (Mar)",4:00,39.10K,,33.10K
"Mar 01, 1994 (Feb)",4:00,33.10K,,8.00K
"Feb 01, 1994 (Jan)",4:00,8.00K,,-25.50K
"Jan 01, 1994 (Dec)",4:00,-25.50K,,48.60K
"Dec 01, 1993 (Nov)",4:00,48.60K,,-15.20K
"Nov 01, 1993 (Oct)",4:00,-15.20K,,32.40K
"Oct 01, 1993 (Sep)",4:00,32.40K,,18.50K
"Sep 01, 1993 (Aug)",4:00,18.50K,,9.60K
"Aug 01, 1993 (Jul)",4:00,9.60K,,24.10K
"Jul 01, 1993 (Jun)",4:00,24.10K,,7.10K
"Jun 01, 1993 (May)",4:00,7.10K,,-31.90K
"May 01, 1993 (Apr)",4:00,-31.90K,,17.50K
"Apr 01, 1993 (Mar)",4:00,17.50K,,8.20K
"Mar 01, 1993 (Feb)",4:00,8.20K,,33.10K
"Feb 01, 1993 (Jan)",4:00,33.10K,,17.10K
"Jan 01, 1993 (Dec)",4:00,17.10K,,-8.20K
"Dec 01, 1992 (Nov)",4:00,-8.20K,,12.90K
"Nov 01, 1992 (Oct)",4:00,12.90K,,6.40K
"Oct 01, 1992 (Sep)",4:00,6.40K,,-38.80K
"Sep 01, 1992 (Aug)",4:00,-38.80K,,15.20K
"Aug 01, 1992 (Jul)",4:00,15.20K,,-19.30K
"Jul 01, 1992 (Jun)",4:00,-19.30K,,5.70K
"Jun 01, 1992 (May)",4:00,5.70K,,-14.00K
"May 01, 1992 (Apr)",4:00,-14.00K,,-26.40K
"Apr 01, 1992 (Mar)",4:00,-26.40K,,-18.90K
"Mar 01, 1992 (Feb)",4:00,-18.90K,,-20.00K
"Feb 01, 1992 (Jan)",4:00,-20.00K,,-13.00K
"Jan 01, 1992 (Dec)",4:00,-13.00K,,-37.80K
"Dec 01, 1991 (Nov)",4:00,-37.80K,,5.60K
"Nov 01, 1991 (Oct)",4:00,5.60K,,-20.80K
"Oct 01, 1991 (Sep)",4:00,-20.80K,,3.90K
"Sep 01, 1991 (Aug)",4:00,3.90K,,-14.00K
"Aug 01, 1991 (Jul)",4:00,-14.00K,,6.40K
"Jul 01, 1991 (Jun)",4:00,6.40K,,29.20K
"Jun 01, 1991 (May)",4:00,29.20K,,41.50K
"May 01, 1991 (Apr)",4:00,41.50K,,-35.90K
"Apr 01, 1991 (Mar)",4:00,-35.90K,,-49.10K
