Release Date,Time,Actual,Forecast,Previous
"Jan 01, 1989 (Dec)",4:00,0.90%,,-0.20%
"Dec 01, 1988 (Nov)",4:00,-0.20%,,-0.90%
"Nov 01, 1988 (Oct)",4:00,-0.90%,,-0.70%
"Oct 01, 1988 (Sep)",4:00,-0.70%,,-2.00%
"Sep 01, 1988 (Aug)",4:00,-2.00%,,-1.30%
"Aug 01, 1988 (Jul)",4:00,-1.30%,,0.20%
"Jul 01, 1988 (Jun)",4:00,0.20%,,1.80%
"Jun 01, 1988 (May)",4:00,1.80%,,0.00%
"May 01, 1988 (Apr)",4:00,0.00%,,-0.90%
"Apr 01, 1988 (Mar)",4:00,-0.90%,,-2.60%
"Mar 01, 1988 (Feb)",4:00,-2.60%,,-1.90%
"Feb 01, 1988 (Jan)",4:00,-1.90%,,-0.20%
"Jan 01, 1988 (Dec)",4:00,-0.20%,,0.20%
"Dec 01, 1987 (Nov)",4:00,0.20%,,-0.80%
"Nov 01, 1987 (Oct)",4:00,-0.80%,,-0.40%
"Oct 01, 1987 (Sep)",4:00,-0.40%,,1.30%
"Sep 01, 1987 (Aug)",4:00,1.30%,,1.10%
"Aug 01, 1987 (Jul)",4:00,1.10%,,1.50%
"Jul 01, 1987 (Jun)",4:00,1.50%,,3.60%
"Jun 01, 1987 (May)",4:00,3.60%,,1.10%
"May 01, 1987 (Apr)",4:00,1.10%,,-0.70%
"Apr 01, 1987 (Mar)",4:00,-0.70%,,1.60%
"Mar 01, 1987 (Feb)",4:00,1.60%,,2.10%
"Feb 01, 1987 (Jan)",4:00,2.10%,,0.50%
"Jan 01, 1987 (Dec)",4:00,0.50%,,1.00%
"Dec 01, 1986 (Nov)",4:00,1.00%,,0.50%
"Nov 01, 1986 (Oct)",4:00,0.50%,,2.20%
"Oct 01, 1986 (Sep)",4:00,2.20%,,0.70%
"Sep 01, 1986 (Aug)",4:00,0.70%,,-1.50%
"Aug 01, 1986 (Jul)",4:00,-1.50%,,1.20%
"Jul 01, 1986 (Jun)",4:00,1.20%,,0.00%
"Jun 01, 1986 (May)",4:00,0.00%,,-7.30%
"May 01, 1986 (Apr)",4:00,-7.30%,,-7.80%
"Apr 01, 1986 (Mar)",4:00,-7.80%,,-6.90%
"Mar 01, 1986 (Feb)",4:00,-6.90%,,-3.20%
"Feb 01, 1986 (Jan)",4:00,-3.20%,,1.00%
"Jan 01, 1986 (Dec)",4:00,1.00%,,1.60%
"Dec 01, 1985 (Nov)",4:00,1.60%,,1.20%
"Nov 01, 1985 (Oct)",4:00,1.20%,,-0.40%
"Oct 01, 1985 (Sep)",4:00,-0.40%,,-0.60%
"Sep 01, 1985 (Aug)",4:00,-0.60%,,-1.50%
"Aug 01, 1985 (Jul)",4:00,-1.50%,,-1.10%
"Jul 01, 1985 (Jun)",4:00,-1.10%,,0.00%
"Jun 01, 1985 (May)",4:00,0.00%,,-0.20%
"May 01, 1985 (Apr)",4:00,-0.20%,,0.40%
"Apr 01, 1985 (Mar)",4:00,0.40%,,0.60%
"Mar 01, 1985 (Feb)",4:00,0.60%,,-0.40%
"Feb 01, 1985 (Jan)",4:00,-0.40%,,0.00%
"Jan 01, 1985 (Dec)",4:00,0.00%,,4.00%
"Dec 01, 1984 (Nov)",4:00,4.00%,,-0.60%
"Nov 01, 1984 (Oct)",4:00,-0.60%,,-0.40%
"Oct 01, 1984 (Sep)",4:00,-0.40%,,-1.20%
"Sep 01, 1984 (Aug)",4:00,-1.20%,,-0.60%
"Aug 01, 1984 (Jul)",4:00,-0.60%,,0.00%
"Jul 01, 1984 (Jun)",4:00,0.00%,,0.20%
"Jun 01, 1984 (May)",4:00,0.20%,,0.60%
"May 01, 1984 (Apr)",4:00,0.60%,,1.00%
"Apr 01, 1984 (Mar)",4:00,1.00%,,0.60%
"Mar 01, 1984 (Feb)",4:00,0.60%,,0.60%
"Feb 01, 1984 (Jan)",4:00,0.60%,,0.80%
"Jan 01, 1984 (Dec)",4:00,0.80%,,-0.60%
"Dec 01, 1983 (Nov)",4:00,-0.60%,,0.60%
"Nov 01, 1983 (Oct)",4:00,0.60%,,-0.60%
"Oct 01, 1983 (Sep)",4:00,-0.60%,,0.80%
"Sep 01, 1983 (Aug)",4:00,0.80%,,-0.40%
"Aug 01, 1983 (Jul)",4:00,-0.40%,,0.00%
"Jul 01, 1983 (Jun)",4:00,0.00%,,0.00%
"Jun 01, 1983 (May)",4:00,0.00%,,1.20%
"May 01, 1983 (Apr)",4:00,1.20%,,-0.40%
"Apr 01, 1983 (Mar)",4:00,-0.40%,,1.00%
"Mar 01, 1983 (Feb)",4:00,1.00%,,2.10%
"Feb 01, 1983 (Jan)",4:00,2.10%,,0.40%
"Jan 01, 1983 (Dec)",4:00,0.40%,,-0.60%
"Dec 01, 1982 (Nov)",4:00,-0.60%,,-1.20%
"Nov 01, 1982 (Oct)",4:00,-1.20%,,0.60%
"Oct 01, 1982 (Sep)",4:00,0.60%,,-0.80%
"Sep 01, 1982 (Aug)",4:00,-0.80%,,2.50%
"Aug 01, 1982 (Jul)",4:00,2.50%,,-0.40%
"Jul 01, 1982 (Jun)",4:00,-0.40%,,1.30%
"Jun 01, 1982 (May)",4:00,1.30%,,0.60%
"May 01, 1982 (Apr)",4:00,0.60%,,0.00%
