Release Date,Time,Actual,Forecast,Previous,
"Sep 01, 1985 (Aug)",4:00,47.7,,47.9,
"Aug 01, 1985 (Jul)",4:00,47.9,,47.8,
"Jul 01, 1985 (Jun)",4:00,47.8,,47.1,
"Jun 01, 1985 (May)",4:00,47.1,,48.2,
"May 01, 1985 (Apr)",4:00,48.2,,47.8,
"Apr 01, 1985 (Mar)",4:00,47.8,,49.9,
"Mar 01, 1985 (Feb)",4:00,49.9,,50.3,
"Feb 01, 1985 (Jan)",4:00,50.3,,50.6,
"Jan 01, 1985 (Dec)",4:00,50.6,,50.3,
"Dec 01, 1984 (Nov)",4:00,50.3,,50.8,
"Nov 01, 1984 (Oct)",4:00,50.8,,50,
"Oct 01, 1984 (Sep)",4:00,50,,53,
"Sep 01, 1984 (Aug)",4:00,53,,56.1,
"Aug 01, 1984 (Jul)",4:00,56.1,,58.1,
"Jul 01, 1984 (Jun)",4:00,58.1,,58.6,
"Jun 01, 1984 (May)",4:00,58.6,,61,
"May 01, 1984 (Apr)",4:00,61,,58.9,
"Apr 01, 1984 (Mar)",4:00,58.9,,61.3,
"Mar 01, 1984 (Feb)",4:00,61.3,,60.5,
"Feb 01, 1984 (Jan)",4:00,60.5,,69.9,
"Jan 01, 1984 (Dec)",4:00,69.9,,66,
"Dec 01, 1983 (Nov)",4:00,66,,64.4,
"Nov 01, 1983 (Oct)",4:00,64.4,,62.5,
"Oct 01, 1983 (Sep)",4:00,62.5,,63.1,
"Sep 01, 1983 (Aug)",4:00,63.1,,63.6,
"Aug 01, 1983 (Jul)",4:00,63.6,,57.5,
"Jul 01, 1983 (Jun)",4:00,57.5,,56.1,
"Jun 01, 1983 (May)",4:00,56.1,,54.2,
"May 01, 1983 (Apr)",4:00,54.2,,53.9,
"Apr 01, 1983 (Mar)",4:00,53.9,,54.4,
"Mar 01, 1983 (Feb)",4:00,54.4,,46,
"Feb 01, 1983 (Jan)",4:00,46,,42.8,
